slug,title,poster_filename,logline,genres,countries,year,runtime,trailer_url,territories,where_to_watch,rating,subtitles_available,localized_versions,licence_expiry,poster_link_pcloud,release_date,amazon_com_url,tubi_url,amazon_co_uk_url,fawesome_url,keywords_tags,director,producers,writer,cast,imdb_link
unnatural-causes,Unnatural Causes,poster.png,"Whether it's bots in the bloodstream, a silent stranger by the road or even a single, all-consuming thought, death comes in peculiar forms in this wildly creative collection of shorts, offering five gruesome tales of the strange and the unnatural.",Horror; Dark Comedy; Arthouse,"Canada, France, United States, Germany",2023,129 min,https://www.youtube.com/watch?v=ZIy911OubLQ,Worldwide,Amazon Prime,R,"English, English HOH, German",German,2027-05-05,https://e.pcloud.link/publink/show?code=kZg9mGZ6YHLmsFULVugKF8NN5K3hk4aD6jyy,2023-05-05,https://www.amazon.com/gp/video/detail/B0CGPVSMZG,https://tubitv.com/movies/100007450/unnatural-causes,https://www.amazon.co.uk/gp/video/detail/B0CGPW72VF,https://fawesome.tv/movies/10532212/unnatural-causes,"Horror, Dark Comedy, Arthouse, Cannibalism, Nanotechnology, Surrealism, Environment, Coming of Age, Canadian Cinema","N’cee van Heerden, Julien Guiol, Simon Rieth, Lindsey Haun, Sabine Ehrl","Julia Zechiel, Nick Roth, Lindsey Haun,  Victoria Burkhart, Karen Wong","Jean-Marc Vienot, N’cee van Heerden, Julien Guiol, Simon Rieth, Nick Roth, Sabine Ehrl","Birkett Turton, Ben Cotton, Roberto Masili, Ayleen Da Ros, Hugo Rieth, Anaïs Pardo, Gabriel Miller, Amanda Fuller, Aleksandra Cwen, Ursula Werner",https://www.imdb.com/title/tt28116590/
dragged-beneath-the-shadows,Dragged Beneath the Shadows,poster.png,"From peasant village witches to high school vampires, sink your teeth into six sinister tales of the supernatural and the inhuman, and find out what lies in wait for you beyond the darkness.",Horror,"United States, Mexico, Netherlands, Canada, United Kingdom",2023,73 min,https://www.youtube.com/watch?v=4jwGvCS7a1Y,Worldwide,Amazon Prime,R,"English, English HOH, German",German,2027-04-14,https://e.pcloud.link/publink/show?code=XZV2MGZzjx0tgX2WuXwmXbxkFqj87mFU38X,2023-04-14,https://www.amazon.com/gp/video/detail/B0B6CLWW6Q,https://tubitv.com/movies/100005180/dragged-beneath-the-shadows,https://www.amazon.co.uk/gp/video/detail/B0B6BS7SRW,https://fawesome.tv/movies/10558164/dragged-beneath-the-shadows,"Horror, Witchcraft, Supernatural, Ritual, Stalker","Josh Nadler, Dustin Curtis Murphy, Mark J. Parker, Xavier Hamel, Jasper de Bruin, Sofìa Carrillo","Sofia Carrillo, Jasper de Bruin, Stephen Fitzgibbon, Mark J. Parker, Kev Hopgood, Marius Smuts, Dan Sima (producer)","Josh Nadler, Kev Hopgood, Mark J. Parker, Esther Zeilig, Xavier Hamel, Simone Duwel, Sofìa Carrillo","Samantha Smart, Clayton Farris, Adam Wittek, Paul Bassett, Aleksander Varadian, Matthew Courson, Victoria Sunshine, Kate Adams, William Dashwood, Nina Fokker, Marisol Padilla Sánchez, Susana Romo",https://www.imdb.com/title/tt28067867/
from-her-bones,From Her Bones,poster.png,"A teenager is caught between her attraction to a boy and the sinister presence that resides in her attic; a confused townie roams the countryside, convinced that the locals are out to get her; and in a world where everyone has a double, one woman seeks to be her own person. A twisted collection of tales that dig into the human psyche to expose the violent urges and hidden fears that lurk within.",Horror; Arthouse; Thriller; Dark Comedy,"France, Canada, Denmark, Spain",2025,92 min,https://www.youtube.com/watch?v=YLR6EGu_W1w,All countries except those mentioned in Geo-Restrictions,Amazon Prime,R,English HOH,None,2028-09-17,https://e.pcloud.link/publink/show?code=kZRqTGZ889Jn7aEcakMUprizBcwTkzV730X,2025-09-17,https://www.amazon.com/gp/video/detail/B0FR6HZFM3,https://tubitv.com/movies/100047940/from-her-bones,https://www.amazon.co.uk/gp/video/detail/B0FR8YLPT9,,"Horror, Arthouse, Thriller, Dark Comedy, Surrealism, Female Lead, Motherhood, Gothic Horror, Doppelganger, French Cinema","Geordy Couturiau, Jennifer Lumbroso, Edith Jorisch, Nicolai G.H. Johansen, David Sanz Lanero","Quentin Daniel, Patrick Francke-Sirois, Anna Dammegaard Søllested, Anaïs Bertrand, Teresa Gómez Anguas","Geordy Couturiau, Jennifer Lumbroso, Edith Jorisch, Nicolai G.H. Johansen, Cristóbal Celma, Ernesto GR Sanabria","Stéphane Caillard, Cédric Kahn, Hélène Kuhn, Sandra Guldberg Kampp",https://www.imdb.com/title/tt11548506/
into-her-own,Into Her Own,poster.png,"A chance meeting at a swimming pool sparks a change in the life and perspective of a young refugee forever, the morning after the night before has two unfamiliar girls questioning how they awoke in the same bed and a beautiful, carefree adventurer disrupts a homebody's monotonous lifestyle. An anthology of short films led by girls who find their own way in life.",LGBTQ+; Drama; Coming of Age; Romance,"France, Switzerland, Bulgaria, United States, Netherlands",2022,98 min,https://www.youtube.com/watch?v=8KPGSmdUZmw,Worldwide,Amazon Prime,PG-13 (compilation-level),"English, German",German,14/07/2026,https://e.pcloud.link/publink/show?code=XZV3TGZpJ3Xjukz3PmfWx2ONTBk1LxrlDgk,2022-07-14,,,,,"LGBTQ+, Lesbian, Teens, Female Lead, Coming of Age, Identity, Family, French Cinema","Ayla Çekin Satijn, Jessica Barclay Lawton, Plamen Marinov, Jean Rousselot, Sadeq Es-haqi, Anna Niebert, Nicolas Greinacher","Rajko Jazbec, Anna Niebert, Sadeq Es-Haqi, Grégoire Bruno, Snezhina Piskova, Jess Barclay Lawton, Laura Bouwmeester","Ayla Çekin Satijn, Hristo Kanov, Snezhina Piskova, Plamen Marinov, Grégoire Bruno, Laure Vaugeois, Jean Rousselot, Sadeq Es-haqi, Anna Niebert, Nicolas Greinacher","Zehra Göktas, Vesela Babinova, Boryana Bratoeva, Frankie Wallach, Bastien Rochard, Laure Vaugeois, Shabnam Dadkhah, Bahar Shearbafi, Nika Adibi, Shaelan O’Connor, Emily O’Dette, Mithra Zahedi, Mo Ahmadi, Ladina von Frisching, Afsaneh Dehrouyeh",https://www.imdb.com/title/tt21347406/
at-first-glance,At First Glance,poster.png,"An anxious girl tries to figure out whether or not she's on a first date with a woman she met at a party, the arrival and love story of a beautiful young couple stumps the older local villagers in a small part of Spain, and a bored woman returns to the lake she used to holiday at as a child, to discover someone has been there waiting for her return. An anthology of female-focused shorts where things are rarely as they first seem.",LGBTQ+; Drama; Romance,"Spain, Australia, Norway, Germany, Italy",2022,92 min,https://www.youtube.com/watch?v=YRm70W_07eo,Worldwide,Amazon Prime,R,"English, German",German,19/09/2026,https://e.pcloud.link/publink/show?code=XZeugGZ53Cl09dfs2FGqxA43SeutmQySrjX,2022-09-19,https://www.amazon.com/gp/video/detail/B0B8TK9NX6,https://tubitv.com/movies/100033787/at-first-glance,https://www.amazon.co.uk/gp/video/detail/B0B8TH1PTS,https://fawesome.tv/movies/10684543/at-first-glance,"LGBTQ+, Lesbian, Relationships, Dating, Animation, Spanish Cinema","Arnaud Lalanne, Ida H. Eldøen, Shanu Sharma, Sophie Saville, Fabrizio Benvenuto, Julie Robert, Marta González De La Vega","Marta González Gallego, Amy Dowd, Fabrizio Benvenuto, Rowan Devereux, Shanu Sharma, Ida Hansen Eldøen, Arnaud Lalanne","Marta González Gallego, Maëva Poupard, Fabrizio Benvenuto, Rowan Devereux, Shanu Sharma, Ida Hansen Eldøen","Anne Kristine Olden, Siri Farstad, Udita Bhargava, Alice Pagotto, Marina Crialesi, Stella Egitto, Doriane Louisy Louis-Joseph, Lou Howard, Aida Qui, Aida Flix",https://www.imdb.com/title/tt22174572/
the-first-taste,The First Taste,poster.png,"A young journalist receives an immersive introduction to the erotic art of shibari, a non-monogamous couple has their dynamic tested by the arrival of an uninvited guest, and a sleeping stranger on a train sends ripples through the relationship of the man and woman who find her. An anthology of female-focused shorts exploring six new flavours of love and desire.",LGBTQ+; Drama; Arthouse,"Canada, Austria, Portugal, France, Germany",2022,96 min,https://www.youtube.com/watch?v=G0dpuXsAeKQ,Worldwide,Amazon Prime,NC-17,"English, English HOH, German",German,2026-12-15,https://e.pcloud.link/publink/show?code=XZtagGZo00WWCbPtffBoTAo2cnMVbX4lGH7,2022-12-15,https://www.amazon.com/gp/video/detail/B0B8P5FV17,,https://www.amazon.co.uk/gp/video/detail/B0B8P3CXQX,,"LGBTQ+, Lesbian, Female Lead, Sexuality, Bisexuality, Polyamory, Canadian Cinema","Silvana Lopa, Brendan Prost, Laurine von Boetticher, Robin Entreinger, Violena Ampudia, Paul Scheufler","Paul Scheufler, Violena Ampudia, Alexandre Bartholo, Laurine Sassine, Brendan Prost, Silvana Lopa","Gabriel Proedl, Violena Ampudia, Robin Entreinger, Laurine Sassine, Brendan Prost, Silvana Lopa","Jennifer Ferris, Anna-Isabel Hinz, Rio Rasch, Nisha Virmani, Georg Rauber, Berenice Heichel, Mirjam Hameter, Leticia Aires, Claire Suchet,  Chloé Imbroglio",https://www.imdb.com/fr/title/tt24806524/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_The%20First%20Taste
love-is-never-far,Love is Never Far,poster.png,"A neglected wife finds hope in a passing stranger, a single mother finds love in the most unfortunate of places, and a shy young wallflower gets a little closer to knowing what she wants by trying what she doesn’t. A collection of five tender stories that show us, no matter where you are, Love is Never Far.",LGBTQ+; Drama,"Colombia, United States, Canada, Russia, Singapore",2022,95 min,https://www.youtube.com/watch?v=3eTiU-WvguQ,Worldwide,Amazon Prime,R,"English, English HOH, German",German,2026-12-16,https://e.pcloud.link/publink/show?code=XZQmPGZDPl4hdmpWTyE954zX2PjCpYdvFwX,2022-12-16,https://www.amazon.com/gp/video/detail/B0B8V1HWCP,,https://www.amazon.co.uk/gp/video/detail/B0B8TZQTSW,https://fawesome.tv/movies/10685412/love-is-never-far,"LGBTQ+, Lesbian, Female Lead, Coming Out, Family, Relationships, Colombian Cinema","Devin Schiro,  Danica Dodds, Margaret Donahoe, Danielle Shvalboym, Li Lin Wee, Rodrigo Trujillo Sanchez","Rodrigo Trujillo Sánchez, Fei Yanqiu, Benjamin Shasha, Margaret Donahoe, Danica Dodds","Danica Dodds, Margaret Donahoe, Danielle Shvalboym, Su Ching Teh, Li Lin Wee, Rodrigo Trujillo Sanchez","Aeriqah Chang, Jean Seizure, Vitaly Karpechenko, Vyacheslav Bulavin, Inga Velanskaya, Zarina Dovletova, Svetlana Rudenko, Lorena Castellanos, Abby Weisbrot, Danica Dodds",https://www.imdb.com/title/tt24853194/
like-the-first-time,Like the First Time,poster.png,"A long walk home sets the scene for young romance, a trip to the beach becomes an opportunity for quiet reflection and self-acceptance, a naïve mother uncovers the secret life of her daughter, and a sullen teenager sees a new side to her mother. Re-live the journey of young love through six coming-of-age stories exploring chance encounters and hidden longings.",Drama; Romance,"Chile, United States, South Korea, Canada, Brazil",2022,112 min,https://www.youtube.com/watch?v=LdkleH9anjQ,All countries except those mentioned in Geo-Restrictions,Amazon Prime,R,"German, English, English HOH",German,2026-12-22,https://e.pcloud.link/publink/show?code=XZfbPGZ9RzA6XrfNJm5IqptNKeaw4BjOcX7,2022-12-22,https://www.amazon.com/gp/video/detail/B0B7FCM9PZ,https://tubitv.com/movies/100005107/like-the-first-time,https://www.amazon.co.uk/gp/video/detail/B0B8QQHXQK,https://fawesome.tv/movies/10526248/like-the-first-time,"LGBTQ+, Lesbian, Teens, Female Lead, Coming of Age, School, Family, Chilean Cinema","Katerine Martineau, Shin Seung-eun, María Francisca Escobar Nachar, Cris Lyra, Park Eun-gyoung, Giovanna Chesler","Lisa Thrasher, Park Eun-gyoung, Camila Gaglianone, Constanza Contreras Quiroz, Seung-Eun Shin, Guillaume Collin","Elis Menezes, Nã Maranhão, Cris Lyra, Raíssa Lopes, Lana Lopes, Yakini Kalid, Camila Gaglianone, Giovanna Chesler, María Francisca Escobar Nachar, Daniela Faune Sánchez, Shin Seung-eun, Park Eun-gyoung, Katerine Martineau","Maite Neira, Son Soo-Hyun, Lim Ji-ho, Lim Chae-yeon, Baek You-jeong, Ahn Min-young, Julia Lübbert, Nahéma Ricci, Amaryllis Tremblay",https://www.imdb.com/es/title/tt25730494/
behind-closed-doors,Behind Closed Doors,poster.png,"A famous comedian makes a surprising confession to a closeted stranger, two bickering parents come home to a scandalous discovery, and an art gallery attendant gets a short glimpse into the life of a young woman she once briefly knew. Enter a new world with six enlightening tales of private revelations, lingering secrets and those fleeting moments where the burdens of everyday life are temporarily lifted.",LGBTQ+; Drama,"Canada, Russia, Turkey, Lithuania, Australia, Brazil",2023,122 min,https://www.youtube.com/watch?v=HfD9uqxOkM4,Worldwide,Amazon Prime,NC-17,"English, French, German, Spanish","German, French, Spanish",2027-05-09,https://e.pcloud.link/publink/show?code=XZvbPGZne3G1p0casznSMEghrGmNy6WNw8V,2023-05-09,https://www.amazon.com/gp/video/detail/B0CGVV3FZD,https://tubitv.com/movies/100053099/behind-closed-doors,https://www.amazon.co.uk/gp/video/detail/B0CGVV9RPT,,"LGBTQ+, Lesbian, Female Lead, Dating, Family, Relationships, Canadian Cinema","Nicole Gullane, Kris Kneen, Anthony Mullins, Inesa Marcinkeviciute, Irmak Karasu, Svetlana Sigalaeva, Florence Sobieski","Florence Sobieski, Svetlana Sigalaeva, Su Baloglu, Inesa Marcinkevičiūtė, Kris Kneen, Christiane Fogaça","Sergey Shirinskiy, Geneviève Fontaine, Nicole Gullane, Kris Kneen, Anthony Mullins, Inesa Marcinkeviciute, Irmak Karasu, Svetlana Sigalaeva","Sidney Shorten, Helen O'Leary, Christiane Fogaça, Mayana Neiva, Vilma Raubaite, Fausta Semionovaite, Gönül Ürer, Ece Yüksel, Natalya Pavlenkova, Kristina Kucherenko, Geneviève Fontaine, Alison Louder",https://www.imdb.com/title/tt28805716/
when-you-look-beneath-the-skin,When You Look Beneath the Skin,poster.png,"An awkward couple hides their relationship from the world during an ill-considered holiday, a surprising discovery reshapes a young boy's view of his stern father, and an ambitious teen must confront his sexuality as he considers enrolment in a prestigious all-boys school. Immerse yourself in six contemporary stories exploring hidden passions, unspoken feelings and what it means to find yourself in the eyes of another.",LGBTQ+; Drama; Romance,"United States, Spain, Brazil, France",2023,93 min,https://www.youtube.com/watch?v=sOX8d2FhfW4,Worldwide,Amazon Prime,R,"English, English HOH, German",German,2027-01-13,https://e.pcloud.link/publink/show?code=XZBhPGZk14a1Mt6zw08nyfJJs6tGbAvWiny,2023-01-13,https://www.amazon.com/gp/video/detail/B0B8SGMSD4,,https://www.amazon.co.uk/gp/video/detail/B0B8SF2WPS,https://fawesome.tv/movies/10684527/when-you-look-beneath-the-skin,"LGBTQ+, Gay, Prejudice, Family, Dating, American Cinema","Robert Ly, Greg Emetaz, Jesús Díaz Morcillo, Diego Tafarel, Adrià Guxens, Blake Pruitt","Alessandro Montelli, Robert Ly, Lizzie Shapiro, Uxío Corbelle, Cara Consilvio, Adrià Guxens","Jesús Díaz Morcillo, Greg Emetaz, Diego Tafarel, Blake Pruitt, Adrià Guxens","Shane Zeigler, Joshua Gonzales, Roko Scherer, Isaac Josephthal, Patrick Martino, Jesús Díaz Morcillo, Eike Junior, Carina Dias, Marc Joy, Adrià Sánchez-Campo",https://www.imdb.com/es/title/tt26340918/
